PS C:\Users\13299> cd "d:\cuhksz\\Natural language processing\final project"
PS D:\cuhksz\Natural language processing\final project> D:\python13\python.exe sc_gsm8k.py
正在加载 GSM8K 数据集...
为了测试，仅使用前 100 条数据。
--- 运行 Self-Consistency (n=5) ---
ID    | 真实值        | 预测值        | 耗时(s)    | Tokens   | 结果 | 投票详情
62    | 25000      | 25000      | 118.02   | 3738     | ✅ | {'25000': 3, '27500': 2}
63    | 1596       | 1596       | 40.96    | 1514     | ✅ | {'1596': 5}
64    | 300        | 300        | 30.61    | 1342     | ✅ | {'300': 5}
65    | 36         | 36         | 36.69    | 1311     | ✅ | {'36': 5}
66    | 48         | 48         | 45.19    | 1594     | ✅ | {'48': 5}
67    | 595        | 595        | 34.36    | 1216     | ✅ | {'595': 5}
68    | 36         | 36         | 32.60    | 1115     | ✅ | {'36': 5}
69    | 60         | 60         | 30.71    | 1122     | ✅ | {'60': 5}
70    | 7425       | 7425       | 53.20    | 1751     | ✅ | {'7425': 5}
71    | 60         | 60         | 20.85    | 787      | ✅ | {'60': 5}
72    | 221        | 221        | 26.82    | 1008     | ✅ | {'221': 5}
73    | 255        | 255        | 35.56    | 1216     | ✅ | {'255': 5}
74    | 88         | 88         | 50.53    | 2048     | ✅ | {'88': 5}
75    | 60         | 60         | 65.10    | 2216     | ✅ | {'60': 5}
76    | 5          | 5          | 46.38    | 1750     | ✅ | {'5': 5}
77    | 100        | 100        | 41.35    | 1390     | ✅ | {'100': 5}
78    | 6          | 6          | 56.77    | 1869     | ✅ | {'6': 3, '6.00': 2}
79    | 70         | 70         | 18.67    | 796      | ✅ | {'70': 5}
80    | 10         | 10         | 36.05    | 1212     | ✅ | {'10': 5}
81    | 17         | 17         | 34.43    | 1287     | ✅ | {'17': 5}
82    | 623        | 623        | 28.63    | 958      | ✅ | {'623': 5}
83    | 600        | 600        | 22.15    | 806      | ✅ | {'600': 5}
84    | 15         | 15         | 36.65    | 1212     | ✅ | {'15': 5}
85    | 44         | 48         | 37.18    | 1460     | ❌ | {'48': 5}
86    | 22         | 22         | 61.08    | 2180     | ✅ | {'22': 5}
87    | 9360       | 9360       | 131.67   | 4042     | ✅ | {'9360': 4, '10080': 1}
88    | 8000       | 8000       | 29.04    | 1012     | ✅ | {'8000': 5}
89    | 24         | 24         | 50.07    | 1655     | ✅ | {'24': 5}
90    | 225        | 225        | 34.61    | 1402     | ✅ | {'225': 5}
91    | 28         | 28         | 28.82    | 972      | ✅ | {'28': 5}
92    | 4          | 4          | 29.81    | 1101     | ✅ | {'4': 5}
93    | 36         | \( \frac{400}{11} \) 秒 | 70.82    | 2383     | ❌ | {'\\( \\frac{400}{11} \\) 秒': 2, '\\(\\frac{400}{11}\\)': 2, '\\( \\frac{400}{11} \\)': 1}
94    | 348        | 348        | 47.32    | 1620     | ✅ | {'348': 5}
95    | 40         | 40         | 37.15    | 1251     | ✅ | {'40': 5}
96    | 3          | 3          | 29.09    | 934      | ✅ | {'3': 5}
97    | 12         | 12         | 49.66    | 1653     | ✅ | {'12': 5}
98    | 5          | 5          | 43.41    | 1700     | ✅ | {'5': 5}
99    | 58         | 58         | 38.37    | 1509     | ✅ | {'58': 5}

==============================
   C.1 S-C RESULTS (n=5)
==============================
📊 Quality (准确率): 96.00%
⏱️ Latency (平均耗时): 42.50 s/题
💰 Cost    (平均开销): 1502.1 tokens/题
==============================
PS D:\cuhksz\Natural language processing\final project>
